amount,transactions_last_hour,account_age_days,new_device,location_changed,failed_attempts,time_since_last_transaction,is_fraud
78.37,2,289,0,0,0,466.0,1
254.18,4,1186,0,0,0,799.0,1
52.68,5,579,0,0,0,3456.0,0
261.03,0,1364,0,0,0,849.0,0
3.98,2,323,0,0,0,493.0,0
124.2,3,326,1,0,1,2748.0,1
59.56,4,733,0,0,0,5161.0,0
40.49,2,1191,0,0,0,2683.0,0
59.85,0,735,0,0,0,242.0,1
7.48,2,167,0,0,0,695.0,0
43.83,1,1393,0,0,2,1662.0,0
78.03,4,85,0,0,2,393.0,1
239.34,1,115,1,0,1,1822.0,1
32.52,2,865,1,0,0,485.0,1
24.33,1,1074,0,0,2,1408.0,1
33.06,4,458,0,0,0,2208.0,0
136.37,1,372,0,0,0,2782.0,0
75.85,2,1242,0,0,0,2902.0,1
32.14,4,259,0,0,0,2683.0,0
91.22,3,816,0,1,0,265.0,1
60.16,9,1394,0,0,0,8171.0,0
143.83,1,1120,0,0,1,2662.0,0
27.06,0,1499,0,0,0,198.0,0
39.34,1,225,0,0,0,2153.0,1
36.89,2,1365,0,0,1,1143.0,0
12.64,1,1451,1,0,0,1005.0,1
73.41,0,484,0,0,0,2032.0,0
70.88,5,1308,0,0,0,331.0,1
54.88,5,348,0,0,1,13443.0,0
43.18,7,341,0,0,0,1415.0,1
13.26,2,699,0,0,1,1625.0,1
35.85,4,1398,0,0,0,997.0,0
38.76,6,413,0,0,0,1676.0,0
24.48,3,1006,0,0,0,1963.0,0
46.47,7,1442,0,0,0,763.0,1
81.78,3,833,0,0,0,1116.0,1
360.03,4,916,0,0,0,531.0,1
65.01,2,282,0,0,0,2661.0,1
70.64,3,1267,0,0,0,2407.0,0
50.68,2,539,0,0,0,2998.0,1
8.01,2,663,0,0,0,2184.0,1
53.17,5,199,0,0,1,37.0,1
57.99,2,790,0,0,0,382.0,1
641.14,3,1455,0,0,0,886.0,1
45.04,4,227,1,0,1,480.0,1
73.81,1,1007,0,1,0,1366.0,0
52.74,1,1220,0,0,0,4111.0,0
16.97,3,733,0,0,1,2411.0,1
171.2,3,869,0,0,1,558.0,0
115.81,3,228,0,0,0,912.0,1
120.43,3,67,0,0,1,96.0,1
21.99,1,1349,0,0,2,11.0,1
222.03,3,338,0,0,0,997.0,1
13.44,3,610,0,0,0,2343.0,0
98.19,0,1010,0,0,0,3549.0,1
488.07,2,114,0,0,0,1016.0,1
20.28,1,104,0,0,0,358.0,0
30.99,3,428,0,0,2,545.0,1
60.32,2,503,1,0,0,1061.0,1
33.0,1,1331,0,0,1,1888.0,0
11.58,3,1217,0,0,1,1409.0,0
58.47,3,214,0,0,0,3306.0,1
18.87,4,957,0,0,2,34.0,1
87.67,1,145,0,0,1,8720.0,0
21.77,1,609,0,1,0,4766.0,1
257.22,7,58,0,1,0,292.0,1
24.95,1,678,0,0,1,89.0,0
39.56,5,581,0,0,3,1731.0,1
123.16,0,123,0,0,1,2300.0,0
15.94,7,549,0,0,0,1161.0,1
68.54,3,235,1,0,1,587.0,1
201.77,1,491,1,1,2,1835.0,1
10.94,4,75,1,0,0,1818.0,1
65.67,5,295,0,0,1,289.0,1
70.8,2,500,1,0,0,2892.0,1
119.32,1,686,0,1,0,2492.0,1
15.85,2,1142,1,0,0,160.0,0
14.58,6,656,0,1,1,1117.0,0
92.01,1,344,0,0,0,900.0,1
73.48,4,159,0,0,0,1117.0,1
70.14,4,782,0,0,0,1113.0,0
77.2,2,47,0,0,0,1336.0,0
27.66,1,363,1,0,1,584.0,1
68.87,0,1357,0,0,1,1142.0,0
73.19,2,614,0,0,1,189.0,1
26.73,4,785,0,0,1,350.0,1
352.76,4,1004,0,0,0,166.0,0
87.69,3,1404,0,0,0,371.0,1
16.59,5,1148,0,0,1,8.0,0
105.27,5,1188,0,0,0,69.0,0
20.6,2,885,0,0,2,2867.0,0
119.95,2,170,0,0,1,400.0,1
173.92,4,594,0,0,0,1321.0,0
24.03,1,1171,0,0,0,833.0,0
143.08,4,823,0,1,2,718.0,1
82.5,5,512,0,0,0,3502.0,1
124.22,3,1182,0,0,2,1199.0,1
363.87,3,1356,0,0,1,1309.0,0
42.72,4,1227,0,1,0,1106.0,1
25.69,1,1144,0,0,1,564.0,1
22.43,3,29,0,0,0,2069.0,0
24.15,4,963,0,0,0,87.0,1
50.55,3,162,0,0,0,595.0,1
76.8,1,991,0,0,0,1950.0,0
72.0,4,559,0,1,0,61.0,1
124.86,2,100,0,0,2,47.0,1
55.31,4,57,0,0,1,840.0,0
233.58,1,483,1,0,0,521.0,0
41.9,4,1169,0,0,1,2173.0,1
828.96,2,866,0,0,1,2539.0,1
102.07,4,1178,0,0,1,66.0,0
23.17,2,1405,0,0,0,1032.0,0
18.71,7,650,0,0,1,5163.0,0
88.45,3,39,0,0,0,676.0,0
43.66,2,1172,0,1,0,395.0,1
111.5,2,1256,0,0,0,1326.0,1
87.64,3,113,0,0,0,1079.0,1
50.76,2,651,0,0,0,446.0,0
23.41,0,1430,0,1,2,463.0,1
12.0,0,1176,0,1,0,2089.0,0
34.93,4,1266,0,0,0,702.0,0
128.56,3,1496,0,1,1,7687.0,0
67.63,2,402,1,0,0,616.0,1
15.71,0,1288,0,0,0,1429.0,0
64.92,3,381,0,0,0,137.0,0
80.26,9,78,0,1,0,1393.0,1
22.56,3,1327,0,0,0,1111.0,0
63.67,5,1240,0,0,2,774.0,1
57.87,7,631,0,0,0,1011.0,1
17.41,4,229,0,0,0,354.0,0
78.08,4,1176,0,0,1,3089.0,1
95.66,1,1492,0,0,1,4587.0,0
161.27,2,1120,0,0,0,3271.0,0
156.62,3,485,0,0,0,2941.0,1
13.77,4,677,0,0,1,1431.0,0
21.37,2,1007,0,0,1,731.0,1
91.38,2,1409,1,0,1,340.0,1
91.27,0,1264,0,0,0,3084.0,1
91.38,2,860,0,0,0,80.0,1
2572.75,2,1297,0,0,1,359.0,1
96.63,2,1070,0,0,0,925.0,0
169.96,4,591,0,0,0,390.0,1
141.74,2,1486,0,0,1,1574.0,0
104.73,4,1013,0,0,0,2318.0,0
39.83,3,351,0,0,0,4316.0,1
116.63,1,674,1,0,0,425.0,0
25.21,3,259,0,0,0,590.0,0
43.09,6,56,0,0,1,2270.0,1
33.6,4,1082,1,0,0,440.0,0
59.26,2,1471,0,0,0,872.0,0
552.61,6,1250,0,0,0,2520.0,0
8.44,3,264,0,0,0,848.0,0
108.45,2,1228,1,0,1,285.0,0
10.88,5,1481,0,1,1,565.0,1
34.06,4,538,1,0,1,152.0,1
162.22,2,954,0,1,0,2018.0,0
58.22,4,422,0,0,1,84.0,1
18.58,2,1073,0,0,0,1536.0,1
26.7,1,443,0,0,0,5394.0,0
107.73,3,1235,1,1,1,3537.0,1
26.3,2,21,0,0,0,136.0,1
67.79,3,397,0,0,0,2256.0,1
57.14,5,355,0,0,1,2109.0,1
28.46,3,387,0,0,0,638.0,1
465.89,2,1113,0,0,1,208.0,1
102.92,0,928,0,0,1,3464.0,1
7.21,2,479,0,0,1,1455.0,0
65.79,2,1160,0,0,0,2158.0,1
28.17,5,7,0,0,1,1102.0,1
128.05,1,740,0,0,0,453.0,0
24.72,1,99,0,0,0,543.0,0
48.68,2,1491,0,0,1,1378.0,1
90.47,2,699,0,0,2,481.0,0
129.77,3,130,0,0,0,916.0,0
16.44,1,1349,0,0,0,139.0,1
39.08,2,684,0,0,0,9729.0,0
33.96,1,1090,0,0,0,1726.0,0
28.41,0,18,0,0,2,284.0,0
319.08,4,719,0,1,3,251.0,1
81.86,2,1168,0,0,0,1188.0,0
15.47,3,268,0,0,0,45.0,0
136.71,4,364,1,0,0,956.0,0
455.85,4,316,0,0,0,5218.0,1
153.31,6,484,0,0,0,3121.0,0
11.95,3,1494,0,0,1,4786.0,0
33.64,4,988,0,1,0,212.0,1
193.82,1,310,0,0,2,834.0,1
26.91,4,1064,0,0,0,1457.0,1
85.1,5,683,0,0,0,2293.0,1
118.47,0,502,0,0,0,897.0,0
21.61,1,4,0,0,0,691.0,0
51.44,5,460,0,0,0,655.0,0
2.14,5,987,1,0,1,2804.0,1
19.6,5,407,0,0,0,866.0,1
42.41,3,170,0,0,1,30.0,1
15.68,3,859,1,0,0,2647.0,0
279.33,5,809,0,0,0,317.0,1
13.06,4,1424,0,0,0,1781.0,1
35.16,2,608,0,0,0,54.0,1
62.22,1,548,1,0,0,881.0,1
230.74,3,1297,1,0,0,1096.0,1
12.99,3,182,0,0,0,6507.0,0
174.72,5,466,0,0,0,166.0,1
55.16,5,347,0,0,0,2506.0,1
20.46,4,903,0,0,0,6022.0,1
86.67,2,425,0,1,1,584.0,1
66.62,1,870,1,1,0,460.0,1
29.96,4,630,0,0,0,5468.0,0
58.55,2,340,0,0,0,1210.0,1
37.14,2,252,0,0,0,3113.0,1
61.16,3,99,0,0,0,2849.0,0
105.86,1,495,0,0,1,710.0,1
266.67,3,1313,0,0,2,374.0,0
15.83,3,763,0,0,2,2185.0,1
460.83,10,600,0,0,0,1252.0,0
7.75,2,1311,0,0,0,1214.0,1
46.91,2,795,0,0,1,1422.0,0
98.33,3,1073,0,0,0,47.0,0
72.31,9,585,0,0,0,9.0,1
29.29,3,1218,0,0,2,679.0,0
44.34,2,710,0,0,0,704.0,1
33.35,2,415,0,0,1,2283.0,0
30.28,2,665,0,0,0,709.0,1
127.69,2,1040,0,0,1,802.0,0
78.02,2,109,0,0,0,1435.0,1
27.31,4,1414,0,0,0,1612.0,1
134.24,1,87,0,0,0,730.0,1
74.24,0,367,0,0,1,1470.0,1
123.08,2,657,0,0,0,1731.0,0
102.48,7,9,0,0,0,545.0,0
23.83,2,1370,0,0,0,484.0,0
31.18,2,1470,0,0,0,3980.0,0
115.27,3,1293,0,0,1,1877.0,1
100.52,3,903,0,1,2,671.0,1
53.47,2,530,0,0,0,1440.0,0
61.39,4,1125,0,0,0,2212.0,1
195.91,5,1069,0,0,1,41.0,1
30.22,4,408,0,0,1,4543.0,1
94.36,2,1312,0,0,0,2274.0,0
44.6,5,1031,0,0,0,896.0,0
43.92,2,276,0,0,1,4846.0,0
163.82,2,749,1,0,0,103.0,1
124.64,4,994,0,0,1,2526.0,0
123.16,4,890,0,0,0,1345.0,1
201.44,2,403,0,1,0,1967.0,1
55.76,6,366,0,0,0,1148.0,1
107.98,3,702,1,1,1,287.0,1
40.03,7,1038,0,0,0,544.0,1
75.5,1,928,0,0,0,1119.0,1
47.94,1,868,0,0,0,4520.0,0
60.16,2,689,0,1,2,127.0,1
99.0,0,602,1,0,0,199.0,0
24.09,4,980,0,1,2,298.0,1
442.48,5,735,0,0,0,1800.0,1
19.97,2,1438,0,0,1,821.0,1
16.21,1,136,0,0,0,291.0,1
173.84,2,1359,0,0,0,234.0,0
120.5,9,882,0,0,1,2018.0,0
101.91,3,138,0,0,0,1118.0,1
102.34,2,420,0,0,0,3711.0,0
53.93,6,24,0,0,0,932.0,0
22.26,5,1265,1,0,1,1919.0,1
58.9,1,513,0,1,1,2860.0,1
27.74,1,1014,0,0,0,5530.0,0
144.77,4,330,0,0,0,3663.0,1
47.13,0,1495,0,0,1,2687.0,0
23.91,1,1382,0,0,2,959.0,0
39.59,1,458,0,0,0,7314.0,0
82.51,2,417,0,0,0,554.0,1
31.07,6,742,0,0,0,1949.0,1
23.99,2,77,0,0,1,252.0,1
69.66,8,1086,0,1,0,1676.0,1
69.75,2,684,1,0,0,2107.0,0
32.89,1,175,0,1,1,170.0,1
34.09,3,447,0,0,1,629.0,1
68.86,2,22,0,0,0,1847.0,0
12.83,2,1158,0,0,1,1659.0,0
13.36,1,937,0,1,0,1986.0,1
26.62,4,524,0,0,0,239.0,1
44.1,3,969,0,0,0,1304.0,1
74.51,1,1477,0,0,0,4726.0,0
238.74,2,899,1,0,0,5533.0,1
128.72,2,100,0,0,0,244.0,0
46.53,2,842,0,0,1,4047.0,0
53.57,4,776,0,0,1,1546.0,0
20.03,8,1225,0,0,0,2516.0,0
53.6,5,184,0,0,1,294.0,1
40.91,2,1171,1,0,0,2410.0,1
75.39,4,279,0,0,0,133.0,0
23.87,2,299,1,0,0,1804.0,1
91.78,3,280,0,1,1,1985.0,1
252.84,3,387,0,1,2,1967.0,1
48.97,6,225,0,0,1,109.0,1
81.59,7,398,0,0,1,873.0,0
108.87,3,1441,0,0,0,2455.0,0
36.55,3,855,1,0,1,2869.0,1
68.31,2,155,0,0,1,967.0,1
55.29,2,652,0,0,1,318.0,1
60.2,1,1070,0,0,0,1246.0,1
25.2,4,1135,0,0,0,1891.0,0
55.95,3,711,0,1,2,4555.0,0
89.84,1,228,0,0,0,2059.0,1
233.02,4,302,0,0,2,3113.0,1
142.49,1,1106,1,0,0,554.0,1
470.21,5,1168,0,0,0,3224.0,1
25.35,4,570,0,0,0,1704.0,0
130.62,3,142,0,0,0,1433.0,1
65.58,5,1365,0,0,0,559.0,1
487.75,0,427,0,0,0,410.0,0
24.33,1,475,0,0,0,1413.0,1
23.58,1,537,0,0,0,3997.0,0
29.98,4,1167,0,0,0,483.0,0
6.53,2,1438,0,0,0,588.0,0
32.27,6,1068,0,0,0,5319.0,0
25.56,1,905,0,0,0,49.0,0
63.46,4,860,0,0,1,1196.0,1
76.84,4,241,0,0,1,1354.0,1
356.44,1,1106,0,0,0,2027.0,0
141.23,2,395,0,0,1,388.0,1
30.66,3,1090,1,0,0,1525.0,1
22.23,8,278,0,0,0,209.0,1
89.29,0,599,0,0,0,559.0,0
14.58,1,925,0,0,0,27.0,1
340.86,3,858,0,0,0,1087.0,0
177.58,1,553,0,0,1,347.0,0
34.15,4,891,0,0,0,183.0,1
9.84,4,1373,0,0,0,760.0,1
211.43,0,738,0,0,0,149.0,1
48.69,1,48,0,1,2,1965.0,1
188.26,6,283,0,0,0,404.0,1
11.08,5,1374,1,0,0,2230.0,1
29.98,2,741,0,0,1,3297.0,0
54.89,3,1433,1,1,0,2434.0,1
57.22,7,945,0,0,0,2590.0,1
34.81,1,1336,0,0,0,1858.0,0
101.78,4,1415,1,0,1,850.0,1
18.77,3,582,0,0,1,771.0,0
47.35,2,985,0,0,0,1515.0,1
61.58,2,880,0,0,1,513.0,0
91.33,3,233,0,0,1,761.0,0
111.23,6,1114,1,0,0,304.0,0
17.73,4,745,0,0,2,2727.0,0
11.77,1,785,1,0,0,2395.0,1
195.91,3,765,0,0,0,1259.0,1
76.12,3,711,0,0,1,830.0,0
25.83,1,6,0,0,1,2147.0,0
257.53,2,1034,0,0,2,159.0,0
61.29,1,1361,0,0,0,88.0,1
177.56,2,643,0,0,1,2166.0,0
58.41,4,1339,0,0,1,1438.0,1
428.7,0,112,0,0,0,2379.0,0
315.87,2,80,0,0,0,590.0,0
42.57,0,453,0,1,0,206.0,1
144.25,5,48,0,0,0,1012.0,0
104.1,1,91,1,0,0,1001.0,1
214.57,1,696,0,0,0,2562.0,0
20.8,1,76,0,0,0,234.0,0
108.42,5,1109,0,1,1,5256.0,1
157.34,2,263,0,0,0,104.0,1
9.41,2,401,0,0,0,676.0,0
16.72,2,1258,0,0,1,2185.0,1
7.1,1,1001,0,1,0,2275.0,0
41.7,2,216,0,0,1,1507.0,1
111.89,1,1369,0,0,1,132.0,0
245.27,8,1198,0,0,0,3493.0,1
58.8,10,37,0,0,0,1813.0,1
278.28,3,903,0,0,0,2560.0,0
13.73,3,887,0,1,0,879.0,1
9.94,5,320,0,0,0,502.0,1
51.65,0,1337,1,0,2,2292.0,1
80.16,2,469,0,0,0,3042.0,1
52.84,3,45,0,0,0,3013.0,0
6.91,1,1097,0,1,0,2273.0,0
49.94,0,1389,1,0,0,269.0,1
14.81,1,878,0,0,3,451.0,1
106.66,2,904,0,0,0,1249.0,1
78.78,0,1133,0,0,0,1274.0,1
21.33,6,347,0,0,0,1207.0,0
32.66,5,855,0,0,0,3148.0,0
18.93,3,1162,0,0,1,241.0,0
51.28,3,1206,0,0,0,2829.0,1
141.9,1,962,0,0,0,41.0,1
20.37,2,812,0,1,0,702.0,0
90.38,6,1328,0,0,0,394.0,1
32.13,2,327,0,0,0,1346.0,1
24.71,5,514,0,0,0,1336.0,0
49.06,5,80,0,0,0,1271.0,0
19.39,2,1142,0,0,0,613.0,1
31.39,5,262,0,0,0,1328.0,1
16.48,5,1104,0,0,0,2202.0,1
389.45,4,601,1,1,1,901.0,1
56.56,4,557,0,0,0,4752.0,0
27.12,1,266,0,0,0,128.0,0
67.63,0,1019,0,0,2,7831.0,1
48.8,1,756,1,0,1,2579.0,1
43.77,1,393,1,0,1,1619.0,1
100.9,4,1312,0,0,0,409.0,1
116.46,1,2,0,0,0,1777.0,1
32.12,4,496,1,0,0,2916.0,0
30.7,3,738,0,0,2,527.0,1
41.47,1,1373,0,0,0,73.0,1
5.46,7,746,0,0,0,1053.0,1
12.0,2,633,0,0,0,653.0,1
214.19,7,980,0,0,1,607.0,1
282.86,3,535,0,0,0,2323.0,0
42.56,4,421,1,0,0,288.0,1
97.18,3,526,0,0,0,1894.0,0
74.53,3,471,0,0,0,114.0,1
1186.64,2,757,0,0,0,4544.0,1
167.26,3,291,0,0,1,1588.0,1
48.04,3,1316,0,0,0,4812.0,0
21.0,4,633,1,0,0,3643.0,1
10.95,2,1120,1,0,0,3670.0,1
66.92,1,1001,0,0,0,230.0,0
25.63,3,493,0,0,0,2143.0,0
13.17,5,1439,0,0,0,921.0,0
28.6,5,868,0,0,0,1106.0,1
18.51,1,857,0,0,1,589.0,1
295.05,1,462,0,0,1,271.0,0
131.85,5,496,0,0,1,658.0,1
54.16,2,26,0,0,1,1435.0,1
239.83,9,766,0,0,0,950.0,0
58.99,1,979,0,0,0,2191.0,0
23.07,5,30,0,0,0,3288.0,0
250.42,7,1402,0,0,1,426.0,1
93.59,4,1383,0,0,2,104.0,1
19.35,4,396,0,1,0,8448.0,0
45.14,2,1133,0,0,0,3857.0,0
22.75,5,850,0,0,0,554.0,1
13.7,4,1282,1,0,2,319.0,0
137.85,7,334,0,0,1,5430.0,1
368.49,3,1428,0,0,2,476.0,1
13.48,5,1466,1,0,1,452.0,1
95.87,5,1255,0,1,1,209.0,1
28.48,2,148,0,0,1,611.0,0
33.54,4,572,0,0,0,3310.0,1
30.19,2,802,0,0,0,1518.0,0
23.01,4,1189,0,0,0,174.0,0
57.31,0,195,0,0,1,6163.0,0
23.78,3,483,0,0,1,1396.0,0
71.55,5,127,0,0,0,970.0,1
51.92,3,225,1,0,0,2761.0,1
42.99,2,787,0,0,0,1479.0,0
22.03,2,1247,0,0,0,4070.0,0
30.67,5,564,0,0,1,2181.0,0
116.21,1,556,0,0,0,1986.0,1
90.1,1,155,0,0,0,742.0,1
20.54,3,38,0,1,0,8256.0,0
60.3,4,604,0,0,1,1900.0,1
115.74,1,980,0,0,1,1050.0,0
10.28,7,1446,1,0,0,287.0,1
94.01,1,13,0,0,1,1460.0,0
28.15,2,349,0,0,1,1975.0,0
96.6,2,405,0,0,0,836.0,1
25.45,5,810,0,0,1,120.0,1
8.98,3,225,0,0,0,2883.0,0
10.72,2,864,0,0,0,1910.0,1
57.29,4,304,1,1,2,2077.0,0
70.79,2,1070,1,0,1,506.0,1
22.1,2,220,0,0,1,252.0,1
103.4,5,78,0,0,1,1083.0,0
10.37,2,825,0,0,0,497.0,1
51.11,4,278,0,0,1,2733.0,0
16.26,0,529,1,0,0,1367.0,0
28.45,8,1121,0,1,0,255.0,1
57.25,1,481,0,0,3,393.0,1
23.09,5,1126,0,0,0,3922.0,0
37.17,2,794,0,0,0,1798.0,1
149.35,5,679,0,0,1,921.0,0
30.66,1,1095,0,0,1,2296.0,0
125.93,4,729,0,0,0,2979.0,0
17.64,3,752,1,0,0,219.0,0
92.74,3,1182,0,1,0,3321.0,0
230.8,2,553,0,0,1,5272.0,0
4.61,2,50,0,0,0,170.0,1
24.61,2,935,0,0,0,705.0,0
97.23,5,402,0,0,0,331.0,1
44.57,4,756,0,0,0,1012.0,0
79.13,2,896,0,0,0,448.0,1
29.84,4,66,0,0,0,810.0,0
59.54,6,1259,1,0,0,499.0,1
46.73,6,626,0,0,0,6.0,1
175.53,2,939,0,0,0,35.0,1
70.42,1,269,1,0,0,1302.0,1
76.52,2,1281,0,0,1,1297.0,1
36.17,2,416,1,0,1,66.0,1
33.53,4,1113,0,0,0,2164.0,0
35.43,2,522,1,0,0,49.0,1
81.0,3,499,0,0,0,1200.0,0
35.84,3,1407,0,0,1,905.0,1
72.95,4,401,0,0,2,3862.0,0
435.02,2,1258,1,0,0,1546.0,1
130.47,2,566,0,0,0,3111.0,0
39.41,2,839,0,0,0,11515.0,0
181.49,1,306,0,0,0,352.0,0
36.3,4,1083,1,0,0,117.0,1
7.11,1,932,0,0,1,2681.0,0
19.92,4,262,0,1,2,1797.0,1
8.41,7,450,0,0,0,1810.0,1
38.42,4,877,0,0,1,684.0,0
55.61,2,32,0,1,0,195.0,1
291.91,2,821,0,0,0,2299.0,1
75.71,6,69,0,0,0,1411.0,1
43.86,1,83,0,0,1,1253.0,1
125.14,2,770,0,0,0,2397.0,0
5.98,3,811,0,0,0,8056.0,1
69.1,2,471,0,0,1,2426.0,0
118.02,6,1028,0,0,0,4909.0,0
12.45,3,587,0,0,0,915.0,1
171.36,3,1198,0,0,0,4110.0,0
76.59,4,1129,0,0,1,2339.0,0
36.04,0,148,0,0,0,836.0,0
102.8,3,122,0,0,0,1280.0,0
528.84,4,1038,1,0,0,407.0,1
65.49,8,507,0,0,1,153.0,1
69.98,3,689,0,0,0,1134.0,0
34.49,1,1411,0,0,1,8987.0,0
23.34,4,533,1,0,0,3679.0,1
125.25,1,317,0,0,1,30.0,0
23.19,3,149,1,0,2,6302.0,1
58.65,1,505,0,0,1,1139.0,0
33.86,6,778,0,0,0,355.0,1
88.14,3,495,0,0,0,4435.0,0
76.22,3,915,0,0,0,4659.0,0
154.09,5,1461,0,0,1,3378.0,1
32.79,6,433,0,0,1,1748.0,1
41.68,1,592,0,0,1,486.0,0
20.52,3,264,0,0,1,496.0,1
35.01,2,697,0,0,0,6064.0,0
79.62,3,1125,0,0,0,588.0,0
116.39,3,601,0,0,0,988.0,0
21.71,3,1432,0,0,1,2516.0,1
130.27,1,1106,0,0,0,3122.0,0
211.8,1,405,0,0,1,954.0,1
82.55,1,1148,0,1,0,906.0,0
356.66,4,264,0,0,2,795.0,1
25.18,1,659,0,0,0,885.0,0
15.73,2,1265,0,0,3,2556.0,0
9.22,1,798,0,0,0,115.0,0
243.73,3,1115,0,0,0,2898.0,0
105.04,1,228,0,0,1,435.0,1
51.65,2,996,0,0,0,317.0,1
72.24,2,1178,0,0,0,232.0,0
17.72,4,916,0,0,0,484.0,0
630.02,3,372,0,0,0,3231.0,0
62.13,1,361,1,0,3,1390.0,1
60.91,4,763,0,0,0,564.0,1
112.82,2,334,0,0,0,370.0,0
88.32,3,215,0,0,0,2642.0,0
68.3,4,178,0,0,0,1268.0,1
24.77,2,1470,0,0,2,231.0,0
87.49,3,1194,0,0,0,847.0,0
358.53,4,1180,0,0,0,1060.0,0
209.65,2,1055,0,0,1,786.0,1
268.59,2,858,0,0,1,555.0,1
32.75,3,640,0,0,0,718.0,1
20.3,8,367,0,0,0,2418.0,0
48.14,5,228,0,0,0,5505.0,1
57.73,2,116,0,0,0,47.0,1
163.07,3,459,0,0,1,1774.0,0
10.05,2,1325,1,0,0,136.0,1
252.03,0,322,0,0,1,407.0,1
46.62,3,872,0,0,0,1415.0,0
35.63,2,1220,0,0,0,2843.0,0
19.84,4,1440,0,0,0,1030.0,0
10.43,1,425,0,0,1,3809.0,0
124.36,3,183,0,0,0,2264.0,0
58.75,3,517,0,0,1,388.0,0
15.03,2,1015,0,1,0,2086.0,0
14.95,2,1343,0,0,0,690.0,1
39.03,4,1284,0,0,0,2620.0,1
289.75,3,371,0,0,1,472.0,0
42.12,4,297,1,0,0,281.0,1
12.14,2,995,0,0,0,1828.0,0
42.7,2,1378,0,0,0,1726.0,1
41.57,2,1079,0,0,0,1534.0,1
3.68,6,301,0,0,0,502.0,0
51.71,0,668,0,0,1,415.0,0
43.34,2,1339,0,0,0,4384.0,0
109.53,4,256,0,0,1,1369.0,1
346.87,1,1205,0,0,0,939.0,1
168.44,3,680,0,0,2,3081.0,1
41.73,4,381,0,0,1,94.0,0
18.06,2,1332,0,0,1,2029.0,1
715.77,2,523,0,0,1,287.0,1
57.93,3,1004,0,0,0,461.0,0
55.36,5,1376,0,0,1,1836.0,0
53.3,4,690,0,0,0,591.0,1
66.56,2,123,0,0,0,2709.0,1
47.26,1,479,1,0,0,1316.0,1
30.76,4,560,0,0,1,702.0,1
31.6,7,468,0,0,0,3600.0,0
52.84,8,182,1,0,1,1784.0,1
31.71,4,390,0,0,2,984.0,1
26.77,4,1330,0,0,1,1087.0,0
